order_id,city,cuisine,day,order_hour,quantity,distance_km,order_value,delivery_time_min,payment,rating,tip,was_late
ORD10555,Bangalore,Desserts,Sat,20,2,4.0,376,30,UPI,3.0,,No
ORD10571,Delhi,South Indian,Fri,20,3,2.5,389,16,Card,4.0,,No
ORD10041,Delhi,South Indian,Sun,22,1,5.2,195,35,Card,,20.0,No
ORD10598,Mumbai,Desserts,Wed,20,4,7.6,598,35,UPI,3.0,40.0,No
ORD10374,Bangalore,Biryani,Mon,19,6,0.7,1625,23,UPI,4.0,35.0,No
ORD10051,Bangalore,Biryani,Sun,19,2,4.0,631,21,Cash,3.0,35.0,No
ORD10124,Mumbai,Biryani,Sun,19,1,3.3,338,38,Card,5.0,35.0,No
ORD10095,Bangalore,Chinese,Sat,19,2,2.4,461,28,UPI,4.0,45.0,No
ORD10078,Hyderabad,Biryani,Thu,17,1,2.7,230,18,Card,4.0,30.0,No
ORD10055,Bangalore,Chinese,Sun,14,1,3.7,295,34,UPI,5.0,,No
ORD10565,Mumbai,South Indian,Tue,17,4,4.3,440,31,UPI,4.0,30.0,No
ORD10073,Delhi,Pizza,Sat,13,2,7.3,668,31,UPI,5.0,,No
ORD10580,Delhi,Chinese,Wed,13,1,8.8,212,41,UPI,4.0,,Yes
ORD10117,Pune,South Indian,Sat,13,2,1.9,303,22,UPI,4.0,,No
ORD10216,Mumbai,Burger,Tue,13,5,2.2,978,29,UPI,3.0,50.0,No
ORD10061,Bangalore,Burger,Fri,0,2,1.3,354,17,UPI,5.0,50.0,No
ORD10125,Mumbai,Desserts,Sat,0,3,5.4,573,33,Card,,20.0,No
ORD10332,Hyderabad,Pizza,Sat,0,8,7.2,1448,32,Cash,4.0,5.0,No
ORD10238,Delhi,Biryani,Mon,12,2,14.0,644,47,UPI,3.0,,Yes
ORD10459,Pune,Chinese,Tue,16,2,3.4,406,19,Card,4.0,10.0,No
ORD10063,Bangalore,South Indian,Fri,18,1,1.2,99,25,UPI,5.0,40.0,No
ORD10477,Delhi,Burger,Thu,16,2,3.8,333,30,UPI,5.0,,No
ORD10056,Delhi,Biryani,Wed,0,4,4.7,804,17,UPI,3.0,30.0,No
ORD10040,Mumbai,South Indian,Thu,20,4,6.9,561,43,UPI,,,Yes
ORD10589,Mumbai,Chinese,Sat,22,1,1.9,254,24,Card,,20.0,No
ORD10343,Pune,Chinese,Sat,14,5,5.3,1164,31,UPI,5.0,,No
ORD10410,Delhi,Pizza,Mon,21,1,,214,17,Card,4.0,10.0,No
ORD10161,Bangalore,Pizza,Sun,22,6,2.0,1076,28,Cash,4.0,40.0,No
ORD10156,Pune,Desserts,Mon,21,1,13.6,164,45,UPI,3.0,20.0,Yes
ORD10160,Delhi,Desserts,Sat,20,1,5.6,262,35,UPI,5.0,,No
ORD10310,Pune,Desserts,Sun,13,5,3.2,771,31,UPI,3.0,40.0,No
ORD10018,Mumbai,South Indian,Sat,18,8,14.0,1174,62,Card,3.0,40.0,Yes
ORD10107,Bangalore,Pizza,Thu,16,2,1.5,507,29,Cash,4.0,25.0,No
ORD10190,Mumbai,Desserts,Fri,20,3,2.2,467,29,UPI,,,No
ORD10515,Bangalore,South Indian,Sat,21,3,2.8,520,30,UPI,4.0,35.0,No
ORD10363,Delhi,Burger,Mon,12,1,2.8,151,24,UPI,4.0,,No
ORD10193,Bangalore,Biryani,Fri,12,1,5.1,201,23,UPI,5.0,,No
ORD10574,Bangalore,Desserts,Thu,13,5,4.8,737,24,UPI,5.0,50.0,No
ORD10298,Pune,Desserts,Sat,21,1,2.4,228,25,UPI,,30.0,No
ORD10142,Mumbai,Chinese,Thu,14,3,6.9,532,27,UPI,3.0,25.0,No
ORD10301,Delhi,Pizza,Sat,13,1,3.8,283,28,UPI,5.0,25.0,No
ORD10317,Mumbai,Burger,Tue,16,2,2.6,375,22,Card,5.0,35.0,No
ORD10031,Pune,Burger,Wed,22,2,5.0,350,31,Card,4.0,,No
ORD10176,Pune,Desserts,Fri,0,3,6.1,501,17,Card,4.0,25.0,No
ORD10568,Delhi,Chinese,Sun,12,4,2.8,937,32,UPI,3.0,,No
ORD10139,Mumbai,Chinese,Sun,12,2,6.4,518,36,UPI,,,No
ORD10149,Pune,Pizza,Fri,14,2,0.8,524,20,UPI,4.0,40.0,No
ORD10420,Bangalore,South Indian,Sun,20,3,5.6,454,36,UPI,4.0,45.0,No
ORD10582,Pune,South Indian,Sat,18,3,7.1,468,34,UPI,,25.0,No
ORD10268,Pune,Chinese,Tue,13,2,3.3,402,18,Cash,3.0,15.0,No
ORD10443,Delhi,Biryani,Fri,21,3,3.5,822,23,UPI,5.0,,No
ORD10346,Bangalore,South Indian,Wed,19,3,7.6,424,31,Card,5.0,,No
ORD10424,Delhi,Desserts,Fri,17,5,4.0,757,23,Card,3.0,35.0,No
ORD10518,Bangalore,South Indian,Thu,22,1,2.6,140,24,UPI,4.0,45.0,No
ORD10129,Bangalore,Burger,Sat,21,2,2.6,360,30,UPI,3.0,40.0,No
ORD10408,Delhi,Biryani,Tue,23,3,5.3,759,29,Card,4.0,10.0,No
ORD10381,Pune,Pizza,Sun,22,3,2.3,757,15,UPI,5.0,25.0,No
ORD10385,Mumbai,Biryani,Wed,23,2,3.7,553,19,UPI,4.0,30.0,No
ORD10440,Mumbai,Desserts,Wed,1,2,5.1,310,25,UPI,3.0,40.0,No
ORD10341,Hyderabad,Biryani,Sat,18,1,5.5,367,38,Card,5.0,,No
ORD10407,Mumbai,South Indian,Sun,22,2,9.1,287,35,Card,4.0,,No
ORD10458,Delhi,Biryani,Sat,0,2,3.2,593,15,Cash,,5.0,No
ORD10271,Pune,South Indian,Sat,22,3,9.7,499,46,Card,2.0,,Yes
ORD10133,Delhi,Burger,Sat,0,3,4.1,611,30,UPI,3.0,,No
ORD10370,Pune,South Indian,Thu,14,3,9.0,316,36,Cash,5.0,30.0,No
ORD10523,Hyderabad,Burger,Sun,19,2,2.2,399,27,Card,4.0,20.0,No
ORD10166,Pune,Biryani,Fri,2,2,2.8,571,20,UPI,4.0,40.0,No
ORD10466,Pune,Pizza,Sun,20,6,6.4,1659,31,UPI,5.0,40.0,No
ORD10140,Delhi,South Indian,Wed,16,4,3.7,503,21,UPI,4.0,20.0,No
ORD10151,Hyderabad,Desserts,Sat,13,3,3.9,606,26,UPI,4.0,,No
ORD10513,Hyderabad,Desserts,Fri,20,2,1.6,320,15,Card,5.0,,No
ORD10048,Pune,Biryani,Thu,13,1,8.1,266,43,Cash,4.0,20.0,Yes
ORD10196,Bangalore,Pizza,Sat,22,4,0.7,1217,20,UPI,5.0,,No
ORD10219,Bangalore,Biryani,Wed,23,4,2.9,917,26,Card,4.0,,No
ORD10455,Mumbai,Desserts,Wed,14,5,4.1,839,24,UPI,4.0,,No
ORD10519,Bangalore,Chinese,Fri,12,5,4.1,811,35,UPI,4.0,,No
ORD10573,Bangalore,Biryani,Sun,14,4,0.9,1038,27,UPI,4.0,45.0,No
ORD10432,Pune,Biryani,Sat,12,2,11.2,724,51,UPI,2.0,,Yes
ORD10587,Pune,Burger,Sun,21,1,4.0,238,25,UPI,5.0,,No
ORD10110,Mumbai,Pizza,Thu,17,3,10.2,749,57,Card,,35.0,Yes
ORD10071,Bangalore,Biryani,Sun,19,1,2.9,308,18,UPI,4.0,45.0,No
ORD10022,Mumbai,Pizza,Sun,23,4,4.1,1050,28,UPI,,,No
ORD10504,Mumbai,South Indian,Sun,13,5,5.1,794,36,UPI,,25.0,No
ORD10302,Mumbai,Pizza,Sun,21,5,3.1,1192,24,UPI,3.0,40.0,No
ORD10175,Hyderabad,Pizza,Wed,17,2,2.9,575,22,Cash,3.0,5.0,No
ORD10300,Delhi,Pizza,Sat,19,3,1.6,794,22,Card,4.0,25.0,No
ORD10064,Pune,Pizza,Wed,19,2,3.9,492,17,Cash,4.0,,No
ORD10182,Delhi,Biryani,Sat,22,2,5.3,625,35,UPI,,25.0,No
ORD10549,Bangalore,Burger,Thu,3,6,3.2,1044,24,UPI,5.0,35.0,No
ORD10005,Mumbai,South Indian,Sun,12,2,2.0,327,36,UPI,4.0,55.0,No
ORD10147,Pune,Chinese,Sun,19,8,11.4,1845,56,UPI,,,Yes
ORD10319,Pune,Desserts,Fri,12,2,3.3,293,26,Cash,5.0,30.0,No
ORD10550,Hyderabad,Biryani,Sat,14,2,2.9,635,21,Cash,,15.0,No
ORD10179,Delhi,Pizza,Sat,16,2,1.7,528,17,UPI,4.0,30.0,No
ORD10364,Delhi,Burger,Mon,19,2,4.8,323,29,UPI,3.0,35.0,No
ORD10314,Hyderabad,Chinese,Thu,19,2,2.1,409,28,Cash,5.0,5.0,No
ORD10075,Hyderabad,Desserts,Thu,3,5,7.3,637,33,UPI,5.0,,No
ORD10039,Hyderabad,South Indian,Tue,19,3,4.2,357,23,Card,4.0,,No
ORD10269,Hyderabad,Pizza,Mon,23,5,1.3,1109,8,Card,4.0,25.0,No
ORD10256,Delhi,Chinese,Fri,2,2,6.1,394,29,UPI,3.0,30.0,No
ORD10089,Bangalore,Biryani,Sat,22,3,7.3,880,43,UPI,4.0,,Yes
ORD10331,Mumbai,Burger,Wed,19,1,3.4,168,31,UPI,5.0,40.0,No
ORD10007,Hyderabad,Desserts,Sun,13,3,4.3,509,28,Card,4.0,,No
ORD10599,Hyderabad,Burger,Mon,17,3,1.3,524,18,UPI,4.0,30.0,No
ORD10409,Pune,South Indian,Sun,14,3,5.2,500,34,UPI,,,No
ORD10213,Mumbai,Chinese,Sun,14,1,8.3,247,51,UPI,4.0,,Yes
ORD10584,Bangalore,South Indian,Fri,13,3,1.3,372,23,UPI,4.0,35.0,No
ORD10399,Bangalore,Chinese,Wed,17,2,3.6,399,29,UPI,4.0,55.0,No
ORD10369,Hyderabad,Desserts,Sun,20,3,3.1,601,28,Card,5.0,15.0,No
ORD10186,Bangalore,Burger,Sat,2,2,4.4,429,29,UPI,4.0,35.0,No
ORD10212,Bangalore,Desserts,Sun,0,5,1.5,736,16,Cash,4.0,35.0,No
ORD10386,Mumbai,Desserts,Sat,13,1,3.1,231,37,UPI,3.0,,No
ORD10449,Bangalore,Pizza,Sun,22,2,4.0,490,22,Card,3.0,40.0,No
ORD10378,Mumbai,Biryani,Wed,12,1,2.1,311,18,Cash,3.0,,No
ORD10460,Pune,Pizza,Fri,12,5,6.0,1461,32,UPI,5.0,25.0,No
ORD10167,Hyderabad,South Indian,Wed,12,2,6.2,246,30,Card,5.0,35.0,No
ORD10027,Pune,Pizza,Wed,22,1,11.1,278,40,Cash,4.0,,No
ORD10115,Mumbai,Desserts,Mon,21,3,4.8,578,30,Card,4.0,30.0,No
ORD10489,Delhi,South Indian,Tue,13,6,4.5,679,23,UPI,3.0,20.0,No
ORD10251,Hyderabad,Biryani,Fri,19,3,2.2,654,24,Card,5.0,30.0,No
ORD10419,Pune,Pizza,Sat,2,2,3.2,558,29,UPI,4.0,,No
ORD10480,Delhi,Pizza,Tue,16,2,4.5,533,12,UPI,3.0,,No
ORD10429,Hyderabad,Biryani,Sun,2,2,6.8,731,29,UPI,3.0,20.0,No
ORD10106,Pune,Pizza,Wed,2,2,2.0,428,16,Cash,5.0,25.0,No
ORD10548,Mumbai,Chinese,Thu,21,1,2.8,194,23,Card,4.0,25.0,No
ORD10259,Hyderabad,Burger,Thu,22,6,5.7,773,33,Card,3.0,,No
ORD10491,Bangalore,Burger,Sun,18,1,4.9,244,30,UPI,4.0,,No
ORD10557,Bangalore,Biryani,Wed,1,3,2.7,696,26,Card,4.0,,No
ORD10281,Delhi,Desserts,Fri,21,2,9.6,298,39,UPI,,15.0,No
ORD10564,Delhi,South Indian,Mon,12,2,4.1,260,15,UPI,4.0,5.0,No
ORD10195,Bangalore,Desserts,Sun,1,3,4.6,572,34,Cash,3.0,30.0,No
ORD10416,Pune,Pizza,Fri,21,1,8.9,265,33,UPI,4.0,35.0,No
ORD10463,Hyderabad,Pizza,Sat,21,3,2.8,843,20,Card,,40.0,No
ORD10335,Delhi,Chinese,Tue,20,1,3.7,213,17,UPI,4.0,20.0,No
ORD10352,Delhi,Chinese,Tue,17,1,0.7,184,21,UPI,5.0,25.0,No
ORD10258,Hyderabad,Pizza,Sat,0,3,3.5,839,22,UPI,5.0,25.0,No
ORD10037,Bangalore,Burger,Sat,21,1,2.9,279,24,UPI,5.0,,No
ORD10019,Mumbai,Burger,Wed,2,1,2.8,176,21,Card,,40.0,No
ORD10285,Hyderabad,Burger,Wed,20,4,1.0,789,22,UPI,4.0,,No
ORD10592,Bangalore,Burger,Thu,21,1,2.4,184,28,UPI,4.0,,No
ORD10228,Hyderabad,Burger,Sat,23,4,7.2,721,39,Card,5.0,30.0,No
ORD10311,Pune,Biryani,Tue,13,1,8.1,277,44,UPI,2.0,30.0,Yes
ORD10035,Mumbai,Desserts,Sun,21,2,1.2,322,21,UPI,,25.0,No
ORD10096,Bangalore,Chinese,Sun,19,8,2.5,1488,32,UPI,5.0,,No
ORD10499,Pune,Chinese,Sun,12,4,0.5,805,25,Cash,4.0,,No
ORD10284,Delhi,Burger,Sat,18,5,4.1,966,23,UPI,4.0,30.0,No
ORD10016,Delhi,Pizza,Sat,17,4,7.7,954,36,UPI,,,No
ORD10368,Pune,Burger,Tue,14,1,10.6,184,45,Card,3.0,20.0,Yes
ORD10328,Bangalore,Pizza,Thu,21,1,4.1,270,36,Card,5.0,,No
ORD10337,Delhi,Pizza,Fri,12,3,5.5,706,39,Cash,4.0,,No
ORD10232,Pune,Burger,Fri,0,3,1.6,464,9,UPI,4.0,40.0,No
ORD10401,Pune,South Indian,Sat,21,5,3.0,700,27,Cash,3.0,25.0,No
ORD10392,Mumbai,Biryani,Sun,22,1,1.5,361,26,Cash,,15.0,No
ORD10024,Pune,Desserts,Fri,17,5,2.1,731,23,Card,,20.0,No
ORD10451,Hyderabad,South Indian,Mon,14,2,9.3,209,31,Card,,25.0,No
ORD10366,Mumbai,Pizza,Sat,21,3,1.9,796,35,UPI,4.0,,No
ORD10554,Hyderabad,Biryani,Sun,1,2,2.9,547,27,Cash,4.0,25.0,No
ORD10469,Pune,Pizza,Mon,16,4,4.0,1017,28,UPI,3.0,45.0,No
ORD10272,Hyderabad,Burger,Sat,21,2,7.1,364,32,UPI,5.0,20.0,No
ORD10252,Pune,Biryani,Sun,20,1,3.1,342,26,Cash,,,No
ORD10058,Mumbai,South Indian,Sun,16,3,4.5,397,35,UPI,,40.0,No
ORD10338,Bangalore,Pizza,Sat,21,1,6.2,291,36,UPI,,,No
ORD10544,Pune,Chinese,Tue,0,2,4.0,300,26,Cash,,10.0,No
ORD10072,Mumbai,Pizza,Sun,13,1,1.1,376,18,UPI,5.0,,No
ORD10144,Mumbai,Chinese,Mon,21,1,4.1,168,31,UPI,3.0,,No
ORD10485,Pune,Pizza,Mon,13,3,1.6,883,26,Cash,,15.0,No
ORD10148,Mumbai,South Indian,Tue,14,6,0.8,710,16,Card,5.0,35.0,No
ORD10353,Pune,Pizza,Wed,17,3,3.5,630,20,UPI,,30.0,No
ORD10274,Delhi,Biryani,Mon,12,3,13.0,718,47,Cash,,5.0,Yes
ORD10253,Pune,Pizza,Thu,22,6,2.5,1108,27,Cash,,,No
ORD10438,Mumbai,Chinese,Tue,20,4,2.2,837,23,UPI,4.0,40.0,No
ORD10082,Delhi,Chinese,Fri,19,3,0.7,558,22,UPI,4.0,30.0,No
ORD10127,Delhi,Pizza,Sun,12,2,1.4,593,19,UPI,4.0,15.0,No
ORD10467,Mumbai,Biryani,Thu,20,4,1.8,1049,24,Card,,,No
ORD10081,Mumbai,Biryani,Wed,23,4,1.2,1011,18,UPI,4.0,,No
ORD10447,Delhi,Biryani,Fri,17,4,2.9,1298,17,Card,,,No
ORD10505,Pune,Chinese,Sat,23,3,8.2,633,34,Card,4.0,,No
ORD10260,Bangalore,Desserts,Thu,12,5,3.2,782,18,UPI,5.0,45.0,No
ORD10309,Mumbai,Pizza,Thu,19,1,6.6,225,32,UPI,5.0,35.0,No
ORD10255,Bangalore,Chinese,Thu,14,2,4.3,381,31,Card,4.0,55.0,No
ORD10428,Pune,South Indian,Mon,19,8,4.1,1014,30,UPI,4.0,20.0,No
ORD10278,Pune,Biryani,Sat,0,2,3.4,493,28,Cash,5.0,,No
ORD10563,Pune,Biryani,Mon,0,3,5.8,827,17,Cash,3.0,,No
ORD10533,Pune,South Indian,Fri,12,4,11.3,448,52,Cash,3.0,35.0,Yes
ORD10234,Bangalore,Biryani,Tue,12,1,4.7,260,33,Cash,5.0,,No
ORD10318,Bangalore,Biryani,Sun,16,2,3.5,587,34,UPI,5.0,70.0,No
ORD10052,Mumbai,Desserts,Sun,13,4,3.0,632,26,UPI,,,No
ORD10224,Bangalore,Chinese,Sat,3,1,9.0,253,46,Cash,,20.0,Yes
ORD10123,Mumbai,Chinese,Sun,13,4,2.2,827,29,UPI,3.0,,No
ORD10402,Mumbai,Pizza,Mon,13,2,3.3,505,33,UPI,5.0,30.0,No
ORD10194,Bangalore,Burger,Wed,16,1,2.4,175,29,UPI,4.0,40.0,No
ORD10236,Mumbai,Burger,Mon,12,1,2.9,199,26,UPI,,20.0,No
ORD10529,Mumbai,Desserts,Sat,19,1,4.9,223,37,Cash,4.0,20.0,No
ORD10365,Hyderabad,Chinese,Sun,12,3,1.3,503,20,UPI,5.0,40.0,No
ORD10475,Mumbai,Desserts,Thu,20,1,8.9,166,39,UPI,3.0,45.0,No
ORD10525,Mumbai,Pizza,Wed,12,1,1.8,251,27,Cash,4.0,20.0,No
ORD10556,Hyderabad,Burger,Mon,19,2,1.8,365,20,Cash,4.0,5.0,No
ORD10371,Mumbai,Chinese,Thu,19,2,,394,24,UPI,5.0,,No
ORD10277,Pune,Chinese,Mon,1,4,2.8,777,15,UPI,,,No
ORD10559,Bangalore,Biryani,Mon,12,2,4.2,521,31,UPI,,60.0,No
ORD10032,Hyderabad,Burger,Fri,3,3,2.6,553,27,UPI,4.0,35.0,No
ORD10380,Bangalore,Chinese,Sat,18,2,5.7,497,37,UPI,5.0,45.0,No
ORD10411,Pune,Pizza,Sat,1,4,8.2,1013,36,Card,5.0,20.0,No
ORD10168,Pune,Biryani,Sun,12,5,2.0,1573,26,Card,,30.0,No
ORD10201,Delhi,Biryani,Sat,22,4,10.0,901,40,UPI,5.0,15.0,No
ORD10362,Pune,Biryani,Fri,21,4,4.6,1061,24,UPI,,35.0,No
ORD10296,Bangalore,Chinese,Sat,20,8,4.7,1343,44,UPI,3.0,,Yes
ORD10430,Hyderabad,Pizza,Sat,1,1,0.7,308,11,UPI,3.0,30.0,No
ORD10562,Mumbai,Biryani,Tue,23,4,6.8,1161,39,UPI,,,No
ORD10551,Hyderabad,Biryani,Fri,14,2,9.4,482,35,Card,5.0,30.0,No
ORD10218,Hyderabad,South Indian,Sat,16,3,7.7,437,39,UPI,4.0,20.0,No
ORD10266,Pune,Biryani,Tue,13,2,2.1,545,16,Cash,5.0,15.0,No
ORD10084,Pune,Pizza,Fri,21,4,4.9,898,30,UPI,5.0,25.0,No
ORD10379,Pune,South Indian,Wed,16,4,1.3,411,11,Card,,30.0,No
ORD10045,Pune,Biryani,Wed,2,3,3.6,968,31,UPI,3.0,45.0,No
ORD10100,Bangalore,Biryani,Sat,23,6,2.8,1687,29,Cash,2.0,30.0,No
ORD10257,Mumbai,Chinese,Sun,17,3,5.9,655,44,UPI,4.0,40.0,Yes
ORD10423,Bangalore,South Indian,Wed,12,3,0.8,398,12,UPI,4.0,45.0,No
ORD10102,Pune,Desserts,Mon,3,2,3.0,301,16,UPI,5.0,25.0,No
ORD10043,Mumbai,Desserts,Wed,2,2,1.5,361,32,Cash,3.0,10.0,No
ORD10261,Hyderabad,Biryani,Sat,20,5,0.5,1667,22,UPI,2.0,20.0,No
ORD10197,Hyderabad,South Indian,Thu,12,1,8.7,124,40,UPI,4.0,,No
ORD10270,Bangalore,South Indian,Fri,16,3,7.2,324,48,Cash,4.0,35.0,Yes
ORD10014,Delhi,Biryani,Sat,13,6,2.3,1618,22,UPI,3.0,,No
ORD10221,Mumbai,South Indian,Wed,13,1,3.0,125,31,Card,4.0,15.0,No
ORD10462,Bangalore,Biryani,Sun,2,4,3.4,943,22,UPI,,,No
ORD10446,Pune,Biryani,Fri,20,2,5.2,514,38,UPI,5.0,,No
ORD10120,Bangalore,Biryani,Mon,1,4,1.6,1170,19,UPI,,,No
ORD10503,Hyderabad,South Indian,Thu,21,4,1.0,512,14,Cash,4.0,,No
ORD10360,Bangalore,South Indian,Wed,12,2,7.6,235,39,Cash,4.0,,No
ORD10108,Hyderabad,Chinese,Fri,13,3,0.9,586,20,UPI,4.0,10.0,No
ORD10070,Mumbai,Chinese,Wed,18,2,8.5,421,35,Cash,,,No
ORD10069,Delhi,Desserts,Sun,1,1,6.6,213,24,Card,5.0,,No
ORD10293,Hyderabad,Burger,Thu,23,3,1.8,566,18,UPI,,10.0,No
ORD10173,Bangalore,South Indian,Sat,14,5,4.1,664,37,Card,4.0,30.0,No
ORD10150,Mumbai,Desserts,Sun,16,2,3.5,366,32,UPI,5.0,,No
ORD10237,Mumbai,Chinese,Sun,20,2,3.1,496,36,UPI,3.0,35.0,No
ORD10585,Mumbai,Biryani,Sat,13,5,3.8,1426,25,UPI,5.0,45.0,No
ORD10540,Bangalore,Chinese,Wed,20,3,3.6,526,23,UPI,3.0,,No
ORD10181,Delhi,South Indian,Sat,21,6,0.5,734,21,Card,,5.0,No
ORD10101,Delhi,Chinese,Thu,23,3,1.4,614,9,Card,4.0,30.0,No
ORD10290,Delhi,Biryani,Fri,21,3,9.6,899,36,UPI,4.0,20.0,No
ORD10128,Delhi,Burger,Sat,23,4,1.6,761,36,UPI,5.0,5.0,No
ORD10431,Bangalore,Chinese,Wed,18,1,2.4,199,18,Card,5.0,50.0,No
ORD10521,Delhi,Pizza,Sat,2,6,1.7,1322,20,Cash,4.0,,No
ORD10104,Mumbai,Biryani,Fri,3,6,2.4,1741,19,Card,4.0,45.0,No
ORD10289,Bangalore,South Indian,Sat,19,6,2.7,945,29,UPI,4.0,55.0,No
ORD10247,Bangalore,South Indian,Fri,1,1,7.0,125,38,UPI,5.0,,No
ORD10448,Pune,South Indian,Mon,20,6,2.1,775,18,UPI,5.0,35.0,No
ORD10121,Bangalore,Pizza,Sun,16,3,1.6,814,19,Card,5.0,35.0,No
ORD10077,Pune,Chinese,Thu,12,4,3.8,644,28,Card,4.0,35.0,No
ORD10054,Bangalore,Burger,Fri,21,4,4.7,551,33,UPI,4.0,40.0,No
ORD10230,Hyderabad,Burger,Thu,0,3,5.8,481,33,UPI,3.0,,No
ORD10347,Bangalore,Pizza,Thu,0,3,6.8,741,41,UPI,4.0,30.0,Yes
ORD10111,Bangalore,Burger,Mon,1,8,7.7,1131,38,UPI,4.0,45.0,No
ORD10008,Pune,Pizza,Wed,22,1,3.0,268,16,UPI,4.0,20.0,No
ORD10026,Mumbai,Burger,Sat,21,8,6.8,1487,53,Cash,3.0,10.0,Yes
ORD10288,Hyderabad,Pizza,Thu,0,5,8.5,1136,39,Card,5.0,,No
ORD10326,Delhi,Chinese,Sat,21,2,3.5,558,30,Cash,5.0,30.0,No
ORD10393,Bangalore,Chinese,Sat,14,2,6.2,373,42,UPI,3.0,45.0,Yes
ORD10340,Hyderabad,South Indian,Thu,13,2,3.2,263,29,UPI,,10.0,No
ORD10208,Pune,Biryani,Sun,16,2,0.9,512,25,Cash,4.0,,No
ORD10461,Hyderabad,Biryani,Sun,21,3,3.0,1063,31,UPI,4.0,35.0,No
ORD10021,Bangalore,Chinese,Sat,17,3,4.9,783,45,Card,,,Yes
ORD10530,Hyderabad,Chinese,Fri,21,3,4.6,558,21,Card,5.0,30.0,No
ORD10010,Mumbai,Pizza,Sat,22,3,2.3,794,20,UPI,2.0,,No
ORD10433,Pune,Chinese,Mon,18,3,3.7,529,19,UPI,,,No
ORD10350,Delhi,Pizza,Wed,14,4,5.8,1039,38,Cash,4.0,,No
ORD10492,Bangalore,Desserts,Thu,20,5,5.5,771,34,UPI,4.0,,No
ORD10345,Delhi,South Indian,Mon,13,4,5.1,336,35,UPI,5.0,20.0,No
ORD10545,Delhi,Desserts,Sat,12,1,1.2,255,17,UPI,4.0,25.0,No
ORD10189,Delhi,Burger,Mon,1,2,1.9,246,15,UPI,5.0,,No
ORD10163,Mumbai,Chinese,Fri,13,5,5.5,860,32,UPI,,,No
ORD10415,Mumbai,Desserts,Thu,23,1,6.5,146,36,Card,3.0,20.0,No
ORD10346,Bangalore,South Indian,Wed,19,3,7.6,424,31,Card,5.0,,No
ORD10217,Mumbai,Biryani,Sat,22,1,6.2,353,28,UPI,5.0,30.0,No
ORD10476,Delhi,Pizza,Mon,19,1,3.0,163,27,UPI,5.0,25.0,No
ORD10457,Hyderabad,Pizza,Sat,12,2,3.1,621,24,UPI,3.0,,No
ORD10528,Hyderabad,South Indian,Sun,13,1,0.9,212,27,UPI,4.0,35.0,No
ORD10097,Bangalore,Chinese,Sat,12,3,3.0,654,24,Card,5.0,40.0,No
ORD10245,Pune,Chinese,Sat,20,3,5.2,603,42,Card,3.0,,Yes
ORD10486,Hyderabad,Chinese,Sat,21,3,6.6,694,28,UPI,3.0,,No
ORD10015,Bangalore,Chinese,Sun,14,1,6.0,314,42,UPI,2.0,35.0,Yes
ORD10243,Hyderabad,Chinese,Mon,12,4,4.6,685,21,UPI,,,No
ORD10413,Hyderabad,Biryani,Thu,17,5,3.4,1166,17,Cash,3.0,10.0,No
ORD10323,Mumbai,Biryani,Sun,23,1,4.2,376,31,Cash,5.0,,No
