mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,weight_kg,efficiency,hp_per_weight,brand,name_upper
44.6,4,91.0,67.0,1850,13.8,80,japan,honda civic 1500 gl,839.16,Good,0.036216216216216214,honda,HONDA CIVIC 1500 GL
40.9,4,85.0,104.46938775510205,1835,17.3,80,europe,renault lecar deluxe,832.356,Good,0.05693154646054607,renault,RENAULT LECAR DELUXE
33.8,4,97.0,67.0,2145,18.0,80,japan,subaru dl,972.972,Good,0.031235431235431235,subaru,SUBARU DL
29.8,4,89.0,62.0,1845,15.3,80,europe,vokswagen rabbit,836.892,Good,0.03360433604336043,vokswagen,VOKSWAGEN RABBIT
32.7,6,168.0,132.0,2910,11.4,80,japan,datsun 280-zx,1319.976,Good,0.04536082474226804,datsun,DATSUN 280-ZX
35.0,4,122.0,88.0,2500,15.1,80,europe,triumph tr7 coupe,1134.0,Good,0.0352,triumph,TRIUMPH TR7 COUPE
32.4,4,107.0,72.0,2290,17.0,80,japan,honda accord,1038.744,Good,0.0314410480349345,honda,HONDA ACCORD
27.2,4,135.0,84.0,2490,15.7,81,usa,plymouth reliant,1129.464,Good,0.033734939759036145,plymouth,PLYMOUTH RELIANT
26.6,4,151.0,84.0,2635,16.4,81,usa,buick skylark,1195.236,Good,0.031878557874762806,buick,BUICK SKYLARK
25.8,4,156.0,92.0,2620,14.4,81,usa,dodge aries wagon (sw),1188.432,Good,0.035114503816793895,dodge,DODGE ARIES WAGON (SW)
30.0,4,135.0,84.0,2385,12.9,81,usa,plymouth reliant,1081.836,Good,0.03522012578616352,plymouth,PLYMOUTH RELIANT
39.1,4,79.0,58.0,1755,16.9,81,japan,toyota starlet,796.068,Good,0.03304843304843305,toyota,TOYOTA STARLET
39.0,4,86.0,64.0,1875,16.4,81,usa,plymouth champ,850.5,Good,0.034133333333333335,plymouth,PLYMOUTH CHAMP
35.1,4,81.0,60.0,1760,16.1,81,japan,honda civic 1300,798.336,Good,0.03409090909090909,honda,HONDA CIVIC 1300
32.3,4,97.0,67.0,2065,17.8,81,japan,subaru,936.684,Good,0.0324455205811138,subaru,SUBARU
37.0,4,85.0,65.0,1975,19.4,81,japan,datsun 210 mpg,895.86,Good,0.03291139240506329,datsun,DATSUN 210 MPG
37.7,4,89.0,62.0,2050,17.3,81,japan,toyota tercel,929.88,Good,0.03024390243902439,toyota,TOYOTA TERCEL
34.1,4,91.0,68.0,1985,16.0,81,japan,mazda glc 4,900.396,Good,0.03425692695214106,mazda,MAZDA GLC 4
34.7,4,105.0,63.0,2215,14.9,81,usa,plymouth horizon 4,1004.724,Good,0.028442437923250564,plymouth,PLYMOUTH HORIZON 4
34.4,4,98.0,65.0,2045,16.2,81,usa,ford escort 4w,927.612,Good,0.03178484107579462,ford,FORD ESCORT 4W
29.9,4,98.0,65.0,2380,20.7,81,usa,ford escort 2h,1079.568,Good,0.0273109243697479,ford,FORD ESCORT 2H
33.0,4,105.0,74.0,2190,14.2,81,europe,volkswagen jetta,993.384,Good,0.033789954337899546,volkswagen,VOLKSWAGEN JETTA
34.5,4,100.0,104.46938775510205,2320,15.8,81,europe,renault 18i,1052.352,Good,0.045029908515130196,renault,RENAULT 18I
33.7,4,107.0,75.0,2210,14.4,81,japan,honda prelude,1002.456,Good,0.033936651583710405,honda,HONDA PRELUDE
32.4,4,108.0,75.0,2350,16.8,81,japan,toyota corolla,1065.96,Good,0.031914893617021274,toyota,TOYOTA COROLLA
32.9,4,119.0,100.0,2615,14.8,81,japan,datsun 200sx,1186.164,Good,0.03824091778202677,datsun,DATSUN 200SX
31.6,4,120.0,74.0,2635,18.3,81,japan,mazda 626,1195.236,Good,0.02808349146110057,mazda,MAZDA 626
28.1,4,141.0,80.0,3230,20.4,81,europe,peugeot 505s turbo diesel,1465.128,Good,0.02476780185758514,peugeot,PEUGEOT 505S TURBO DIESEL
30.7,6,145.0,76.0,3160,19.6,81,europe,volvo diesel,1433.376,Good,0.024050632911392405,volvo,VOLVO DIESEL
25.4,6,168.0,116.0,2900,12.6,81,japan,toyota cressida,1315.44,Good,0.04,toyota,TOYOTA CRESSIDA
26.6,8,350.0,105.0,3725,19.0,81,usa,oldsmobile cutlass ls,1689.66,Good,0.028187919463087248,oldsmobile,OLDSMOBILE CUTLASS LS
28.0,4,112.0,88.0,2605,19.6,82,usa,chevrolet cavalier,1181.628,Good,0.03378119001919386,chevrolet,CHEVROLET CAVALIER
27.0,4,112.0,88.0,2640,18.6,82,usa,chevrolet cavalier wagon,1197.504,Good,0.03333333333333333,chevrolet,CHEVROLET CAVALIER WAGON
34.0,4,112.0,88.0,2395,18.0,82,usa,chevrolet cavalier 2-door,1086.372,Good,0.03674321503131524,chevrolet,CHEVROLET CAVALIER 2-DOOR
31.0,4,112.0,85.0,2575,16.2,82,usa,pontiac j2000 se hatchback,1168.02,Good,0.03300970873786408,pontiac,PONTIAC J2000 SE HATCHBACK
29.0,4,135.0,84.0,2525,16.0,82,usa,dodge aries se,1145.34,Good,0.03326732673267327,dodge,DODGE ARIES SE
27.0,4,151.0,90.0,2735,18.0,82,usa,pontiac phoenix,1240.596,Good,0.03290676416819013,pontiac,PONTIAC PHOENIX
36.0,4,105.0,74.0,1980,15.3,82,europe,volkswagen rabbit l,898.128,Good,0.03737373737373737,volkswagen,VOLKSWAGEN RABBIT L
37.0,4,91.0,68.0,2025,18.2,82,japan,mazda glc custom l,918.54,Good,0.03358024691358025,mazda,MAZDA GLC CUSTOM L
31.0,4,91.0,68.0,1970,17.6,82,japan,mazda glc custom,893.592,Good,0.03451776649746193,mazda,MAZDA GLC CUSTOM
38.0,4,105.0,63.0,2125,14.7,82,usa,plymouth horizon miser,963.9,Good,0.029647058823529412,plymouth,PLYMOUTH HORIZON MISER
36.0,4,98.0,70.0,2125,17.3,82,usa,mercury lynx l,963.9,Good,0.03294117647058824,mercury,MERCURY LYNX L
36.0,4,120.0,88.0,2160,14.5,82,japan,nissan stanza xe,979.776,Good,0.040740740740740744,nissan,NISSAN STANZA XE
36.0,4,107.0,75.0,2205,14.5,82,japan,honda accord,1000.188,Good,0.034013605442176874,honda,HONDA ACCORD
34.0,4,108.0,70.0,2245,16.9,82,japan,toyota corolla,1018.332,Good,0.031180400890868598,toyota,TOYOTA COROLLA
38.0,4,91.0,67.0,1965,15.0,82,japan,honda civic,891.324,Good,0.03409669211195929,honda,HONDA CIVIC
32.0,4,91.0,67.0,1965,15.7,82,japan,honda civic (auto),891.324,Good,0.03409669211195929,honda,HONDA CIVIC (AUTO)
38.0,4,91.0,67.0,1995,16.2,82,japan,datsun 310 gx,904.932,Good,0.033583959899749376,datsun,DATSUN 310 GX
38.0,6,262.0,85.0,3015,17.0,82,usa,oldsmobile cutlass ciera (diesel),1367.604,Good,0.028192371475953566,oldsmobile,OLDSMOBILE CUTLASS CIERA (DIESEL)
26.0,4,156.0,92.0,2585,14.5,82,usa,chrysler lebaron medallion,1172.556,Good,0.035589941972920695,chrysler,CHRYSLER LEBARON MEDALLION
32.0,4,144.0,96.0,2665,13.9,82,japan,toyota celica gt,1208.844,Good,0.03602251407129456,toyota,TOYOTA CELICA GT
36.0,4,135.0,84.0,2370,13.0,82,usa,dodge charger 2.2,1075.032,Good,0.035443037974683546,dodge,DODGE CHARGER 2.2
27.0,4,151.0,90.0,2950,17.3,82,usa,chevrolet camaro,1338.1200000000001,Good,0.030508474576271188,chevrolet,CHEVROLET CAMARO
27.0,4,140.0,86.0,2790,15.6,82,usa,ford mustang gl,1265.544,Good,0.03082437275985663,ford,FORD MUSTANG GL
44.0,4,97.0,52.0,2130,24.6,82,europe,vw pickup,966.168,Good,0.024413145539906103,vw,VW PICKUP
32.0,4,135.0,84.0,2295,11.6,82,usa,dodge rampage,1041.012,Good,0.036601307189542485,dodge,DODGE RAMPAGE
28.0,4,120.0,79.0,2625,18.6,82,usa,ford ranger,1190.7,Good,0.030095238095238095,ford,FORD RANGER
31.0,4,119.0,82.0,2720,19.4,82,usa,chevy s-10,1233.792,Good,0.030147058823529412,chevy,CHEVY S-10
