mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,weight_kg,efficiency,hp_per_weight,brand,name_upper
14.0,8,455.0,225.0,3086,10.0,70,usa,buick estate wagon (sw),1399.8096,Poor,0.0729099157485418,buick,BUICK ESTATE WAGON (SW)
10.0,8,360.0,215.0,4615,14.0,70,usa,ford f250,2093.364,Poor,0.04658721560130011,ford,FORD F250
10.0,8,307.0,200.0,4376,15.0,70,usa,chevy c20,1984.9536,Poor,0.04570383912248629,chevy,CHEVY C20
11.0,8,318.0,210.0,4382,13.5,70,usa,dodge d200,1987.6752,Poor,0.04792332268370607,dodge,DODGE D200
9.0,8,304.0,193.0,4732,18.5,70,usa,hi 1200d,2146.4352,Poor,0.04078613693998309,hi,HI 1200D
14.0,8,350.0,165.0,4209,12.0,71,usa,chevrolet impala,1909.2024000000001,Poor,0.039201710620099785,chevrolet,CHEVROLET IMPALA
14.0,8,400.0,175.0,4464,11.5,71,usa,pontiac catalina brougham,2024.8704,Poor,0.03920250896057348,pontiac,PONTIAC CATALINA BROUGHAM
14.0,8,351.0,153.0,4154,13.5,71,usa,ford galaxie 500,1884.2544,Poor,0.03683196918632643,ford,FORD GALAXIE 500
14.0,8,318.0,150.0,4096,13.0,71,usa,plymouth fury iii,1857.9456,Poor,0.03662109375,plymouth,PLYMOUTH FURY III
12.0,8,383.0,180.0,4955,11.5,71,usa,dodge monaco (sw),2247.588,Poor,0.03632694248234107,dodge,DODGE MONACO (SW)
13.0,8,400.0,170.0,4746,12.0,71,usa,ford country squire (sw),2152.7856,Poor,0.03581963758954909,ford,FORD COUNTRY SQUIRE (SW)
13.0,8,400.0,175.0,5140,12.0,71,usa,pontiac safari (sw),2331.504,Poor,0.03404669260700389,pontiac,PONTIAC SAFARI (SW)
13.0,8,350.0,165.0,4274,12.0,72,usa,chevrolet impala,1938.6864,Poor,0.0386055217594759,chevrolet,CHEVROLET IMPALA
14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac catalina,1989.036,Poor,0.039908779931584946,pontiac,PONTIAC CATALINA
15.0,8,318.0,150.0,4135,13.5,72,usa,plymouth fury iii,1875.636,Average,0.036275695284159616,plymouth,PLYMOUTH FURY III
14.0,8,351.0,153.0,4129,13.0,72,usa,ford galaxie 500,1872.9144000000001,Poor,0.03705497699200775,ford,FORD GALAXIE 500
17.0,8,304.0,150.0,3672,11.5,72,usa,amc ambassador sst,1665.6192,Average,0.04084967320261438,amc,AMC AMBASSADOR SST
11.0,8,429.0,208.0,4633,11.0,72,usa,mercury marquis,2101.5288,Poor,0.044895316209799266,mercury,MERCURY MARQUIS
13.0,8,350.0,155.0,4502,13.5,72,usa,buick lesabre custom,2042.1072,Poor,0.03442914260328743,buick,BUICK LESABRE CUSTOM
12.0,8,350.0,160.0,4456,13.5,72,usa,oldsmobile delta 88 royale,2021.2416,Poor,0.03590664272890485,oldsmobile,OLDSMOBILE DELTA 88 ROYALE
13.0,8,400.0,190.0,4422,12.5,72,usa,chrysler newport royal,2005.8192,Poor,0.04296698326549073,chrysler,CHRYSLER NEWPORT ROYAL
15.0,8,304.0,150.0,3892,12.5,72,usa,amc matador (sw),1765.4112,Average,0.03854059609455293,amc,AMC MATADOR (SW)
13.0,8,307.0,130.0,4098,14.0,72,usa,chevrolet chevelle concours (sw),1858.8528000000001,Poor,0.0317227916056613,chevrolet,CHEVROLET CHEVELLE CONCOURS (SW)
13.0,8,302.0,140.0,4294,16.0,72,usa,ford gran torino (sw),1947.7584,Poor,0.032603632976245925,ford,FORD GRAN TORINO (SW)
14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth satellite custom (sw),1849.3272,Poor,0.03679175864606328,plymouth,PLYMOUTH SATELLITE CUSTOM (SW)
13.0,8,350.0,175.0,4100,13.0,73,usa,buick century 350,1859.76,Poor,0.042682926829268296,buick,BUICK CENTURY 350
14.0,8,304.0,150.0,3672,11.5,73,usa,amc matador,1665.6192,Poor,0.04084967320261438,amc,AMC MATADOR
13.0,8,350.0,145.0,3988,13.0,73,usa,chevrolet malibu,1808.9568,Poor,0.03635907723169508,chevrolet,CHEVROLET MALIBU
14.0,8,302.0,137.0,4042,14.5,73,usa,ford gran torino,1833.4512,Poor,0.0338941118258288,ford,FORD GRAN TORINO
15.0,8,318.0,150.0,3777,12.5,73,usa,dodge coronet custom,1713.2472,Average,0.03971405877680699,dodge,DODGE CORONET CUSTOM
12.0,8,429.0,198.0,4952,11.5,73,usa,mercury marquis brougham,2246.2272,Poor,0.03998384491114701,mercury,MERCURY MARQUIS BROUGHAM
13.0,8,400.0,150.0,4464,12.0,73,usa,chevrolet caprice classic,2024.8704,Poor,0.033602150537634407,chevrolet,CHEVROLET CAPRICE CLASSIC
13.0,8,351.0,158.0,4363,13.0,73,usa,ford ltd,1979.0568,Poor,0.03621361448544579,ford,FORD LTD
14.0,8,318.0,150.0,4237,14.5,73,usa,plymouth fury gran sedan,1921.9032,Poor,0.03540240736370073,plymouth,PLYMOUTH FURY GRAN SEDAN
13.0,8,440.0,215.0,4735,11.0,73,usa,chrysler new yorker brougham,2147.796,Poor,0.0454065469904963,chrysler,CHRYSLER NEW YORKER BROUGHAM
12.0,8,455.0,225.0,4951,11.0,73,usa,buick electra 225 custom,2245.7736,Poor,0.045445364572813576,buick,BUICK ELECTRA 225 CUSTOM
13.0,8,360.0,175.0,3821,11.0,73,usa,amc ambassador brougham,1733.2056,Poor,0.04579952891913112,amc,AMC AMBASSADOR BROUGHAM
11.0,8,400.0,150.0,4997,14.0,73,usa,chevrolet impala,2266.6392,Poor,0.03001801080648389,chevrolet,CHEVROLET IMPALA
12.0,8,400.0,167.0,4906,12.5,73,usa,ford country,2225.3616,Poor,0.03403995108030983,ford,FORD COUNTRY
13.0,8,360.0,170.0,4654,13.0,73,usa,plymouth custom suburb,2111.0544,Poor,0.0365277180919639,plymouth,PLYMOUTH CUSTOM SUBURB
12.0,8,350.0,180.0,4499,12.5,73,usa,oldsmobile vista cruiser,2040.7464,Poor,0.04000889086463658,oldsmobile,OLDSMOBILE VISTA CRUISER
15.0,8,350.0,145.0,4082,13.0,73,usa,chevrolet monte carlo s,1851.5952,Average,0.035521803037726604,chevrolet,CHEVROLET MONTE CARLO S
16.0,8,400.0,230.0,4278,9.5,73,usa,pontiac grand prix,1940.5008,Average,0.053763440860215055,pontiac,PONTIAC GRAND PRIX
15.0,8,318.0,150.0,3399,11.0,73,usa,dodge dart custom,1541.7864,Average,0.0441306266548985,dodge,DODGE DART CUSTOM
11.0,8,350.0,180.0,3664,11.0,73,usa,oldsmobile omega,1661.9904,Poor,0.04912663755458515,oldsmobile,OLDSMOBILE OMEGA
16.0,8,302.0,140.0,4141,14.0,74,usa,ford gran torino,1878.3576,Average,0.03380825887466796,ford,FORD GRAN TORINO
13.0,8,350.0,150.0,4699,14.5,74,usa,buick century luxus (sw),2131.4664,Poor,0.03192168546499255,buick,BUICK CENTURY LUXUS (SW)
14.0,8,318.0,150.0,4457,13.5,74,usa,dodge coronet custom (sw),2021.6952,Poor,0.03365492483733453,dodge,DODGE CORONET CUSTOM (SW)
14.0,8,302.0,140.0,4638,16.0,74,usa,ford gran torino (sw),2103.7968,Poor,0.030185424752048298,ford,FORD GRAN TORINO (SW)
14.0,8,304.0,150.0,4257,15.5,74,usa,amc matador (sw),1930.9752,Poor,0.035236081747709654,amc,AMC MATADOR (SW)
16.0,8,400.0,170.0,4668,11.5,75,usa,pontiac catalina,2117.4048,Average,0.03641816623821765,pontiac,PONTIAC CATALINA
15.0,8,350.0,145.0,4440,14.0,75,usa,chevrolet bel air,2013.984,Average,0.03265765765765766,chevrolet,CHEVROLET BEL AIR
16.0,8,318.0,150.0,4498,14.5,75,usa,plymouth grand fury,2040.2928,Average,0.03334815473543797,plymouth,PLYMOUTH GRAND FURY
14.0,8,351.0,148.0,4657,13.5,75,usa,ford ltd,2112.4152,Poor,0.031780115954477134,ford,FORD LTD
20.0,8,262.0,110.0,3221,13.5,75,usa,chevrolet monza 2+2,1461.0456,Average,0.034150884818379384,chevrolet,CHEVROLET MONZA 2+2
13.0,8,302.0,129.0,3169,12.0,75,usa,ford mustang ii,1437.4584,Poor,0.04070684758598927,ford,FORD MUSTANG II
17.5,8,305.0,140.0,4215,13.0,76,usa,chevrolet chevelle malibu classic,1911.924,Average,0.033214709371293,chevrolet,CHEVROLET CHEVELLE MALIBU CLASSIC
16.0,8,318.0,150.0,4190,13.0,76,usa,dodge coronet brougham,1900.584,Average,0.03579952267303103,dodge,DODGE CORONET BROUGHAM
15.5,8,304.0,120.0,3962,13.9,76,usa,amc matador,1797.1632,Average,0.03028773346794548,amc,AMC MATADOR
14.5,8,351.0,152.0,4215,12.8,76,usa,ford gran torino,1911.924,Poor,0.03606168446026097,ford,FORD GRAN TORINO
13.0,8,318.0,150.0,3940,13.2,76,usa,plymouth volare premier v8,1787.184,Poor,0.03807106598984772,plymouth,PLYMOUTH VOLARE PREMIER V8
16.5,8,350.0,180.0,4380,12.1,76,usa,cadillac seville,1986.768,Average,0.0410958904109589,cadillac,CADILLAC SEVILLE
13.0,8,350.0,145.0,4055,12.0,76,usa,chevy c10,1839.348,Poor,0.035758323057953144,chevy,CHEVY C10
13.0,8,302.0,130.0,3870,15.0,76,usa,ford f108,1755.432,Poor,0.03359173126614987,ford,FORD F108
13.0,8,318.0,150.0,3755,14.0,76,usa,dodge d100,1703.268,Poor,0.03994673768308921,dodge,DODGE D100
17.5,8,305.0,145.0,3880,12.5,77,usa,chevrolet caprice classic,1759.968,Average,0.037371134020618556,chevrolet,CHEVROLET CAPRICE CLASSIC
17.0,8,260.0,110.0,4060,19.0,77,usa,oldsmobile cutlass supreme,1841.616,Average,0.027093596059113302,oldsmobile,OLDSMOBILE CUTLASS SUPREME
15.5,8,318.0,145.0,4140,13.7,77,usa,dodge monaco brougham,1877.904,Average,0.035024154589371984,dodge,DODGE MONACO BROUGHAM
15.0,8,302.0,130.0,4295,14.9,77,usa,mercury cougar brougham,1948.212,Average,0.030267753201396973,mercury,MERCURY COUGAR BROUGHAM
16.0,8,400.0,180.0,4220,11.1,77,usa,pontiac grand prix lj,1914.192,Average,0.04265402843601896,pontiac,PONTIAC GRAND PRIX LJ
15.5,8,350.0,170.0,4165,11.4,77,usa,chevrolet monte carlo landau,1889.244,Average,0.04081632653061224,chevrolet,CHEVROLET MONTE CARLO LANDAU
15.5,8,400.0,190.0,4325,12.2,77,usa,chrysler cordoba,1961.82,Average,0.04393063583815029,chrysler,CHRYSLER CORDOBA
16.0,8,351.0,149.0,4335,14.5,77,usa,ford thunderbird,1966.356,Average,0.03437139561707036,ford,FORD THUNDERBIRD
19.9,8,260.0,110.0,3365,15.5,78,usa,oldsmobile cutlass salon brougham,1526.364,Average,0.03268945022288262,oldsmobile,OLDSMOBILE CUTLASS SALON BROUGHAM
19.4,8,318.0,140.0,3735,13.2,78,usa,dodge diplomat,1694.196,Average,0.03748326639892905,dodge,DODGE DIPLOMAT
20.2,8,302.0,139.0,3570,12.8,78,usa,mercury monarch ghia,1619.352,Average,0.03893557422969188,mercury,MERCURY MONARCH GHIA
19.2,8,305.0,145.0,3425,13.2,78,usa,chevrolet monte carlo landau,1553.58,Average,0.042335766423357665,chevrolet,CHEVROLET MONTE CARLO LANDAU
18.1,8,302.0,139.0,3205,11.2,78,usa,ford futura,1453.788,Average,0.04336973478939157,ford,FORD FUTURA
17.5,8,318.0,140.0,4080,13.7,78,usa,dodge magnum xe,1850.688,Average,0.03431372549019608,dodge,DODGE MAGNUM XE
17.0,8,305.0,130.0,3840,15.4,79,usa,chevrolet caprice classic,1741.824,Average,0.033854166666666664,chevrolet,CHEVROLET CAPRICE CLASSIC
17.6,8,302.0,129.0,3725,13.4,79,usa,ford ltd landau,1689.66,Average,0.03463087248322148,ford,FORD LTD LANDAU
16.5,8,351.0,138.0,3955,13.2,79,usa,mercury grand marquis,1793.988,Average,0.03489254108723135,mercury,MERCURY GRAND MARQUIS
18.2,8,318.0,135.0,3830,15.2,79,usa,dodge st. regis,1737.288,Average,0.03524804177545692,dodge,DODGE ST. REGIS
16.9,8,350.0,155.0,4360,14.9,79,usa,buick estate wagon (sw),1977.696,Average,0.03555045871559633,buick,BUICK ESTATE WAGON (SW)
15.5,8,351.0,142.0,4054,14.3,79,usa,ford country squire (sw),1838.8944,Average,0.03502713369511593,ford,FORD COUNTRY SQUIRE (SW)
19.2,8,267.0,125.0,3605,15.0,79,usa,chevrolet malibu classic (sw),1635.228,Average,0.03467406380027739,chevrolet,CHEVROLET MALIBU CLASSIC (SW)
18.5,8,360.0,150.0,3940,13.0,79,usa,chrysler lebaron town @ country (sw),1787.184,Average,0.03807106598984772,chrysler,CHRYSLER LEBARON TOWN @ COUNTRY (SW)
23.0,8,350.0,125.0,3900,17.4,79,usa,cadillac eldorado,1769.04,Average,0.03205128205128205,cadillac,CADILLAC ELDORADO
23.9,8,260.0,90.0,3420,22.2,79,usa,oldsmobile cutlass salon brougham,1551.312,Average,0.02631578947368421,oldsmobile,OLDSMOBILE CUTLASS SALON BROUGHAM
26.6,8,350.0,105.0,3725,19.0,81,usa,oldsmobile cutlass ls,1689.66,Good,0.028187919463087248,oldsmobile,OLDSMOBILE CUTLASS LS
